Name,Industry,Color,Ticker,Date of IPO,"Value at IPO, $B/M","Value at IPO, Number",Circle Radius at IPO,"Value Now, $B","Value Now, Number",Circle Radius Now,Value Change (%),IPO Share Price (USD),Color2,>35% Female Employees,Percentage of Female Employees,Percentage of Male Employees,4+ Stars on Glassdoor,Stars on Glassdoor,"ROI, 5-Yr Average (%)",10+ Acquisitions,Number of Acquisitions,60+ Investments,Number of Investments,10+ Investors,Number of Investors,>40% Minority Employees,Percentage of Minority Employees,Recommend to Friend,Approve of CEO
GrubHub,Ecommerce,#ff0000,GRUB,2014,2700000000,2.7 billion,15.09803648,8530000000,8.5 billion,2043.225705,216,26,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.8,4.84,TRUE,10,FALSE,1,TRUE,10,NONE,Not public data.,73%,83%
Zendesk,Software,#210be5,ZEN,2014,600000000,0.6 billion,12.51033405,4740000000,4.7 billion,1679.807234,690,9,#5968FF,TRUE,39%,61%,TRUE,4.4,-46.62,FALSE,3,FALSE,1,TRUE,10,FALSE,34%,88%,94%
Wayfair,Ecommerce,#ff0000,W,2014,2400000000,2.4 billion,14.87737826,5880000000,5.9 billion,1804.924785,145,29,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.4,-64.75,FALSE,4,FALSE,0,FALSE,5,NONE,Not public data.,57%,85%
GoPro,Hardware,#f788c7,GPRO,2014,2960000000,2.96 billion,15.27254677,673000000,673 million,876.3380887,-77,21,#F62536,NONE,Not public data.,Not public data.,FALSE,3.5,-7.02,FALSE,6,FALSE,0,FALSE,6,NONE,Not public data.,48%,47%
Alibaba,Ecommerce,#ff0000,BABA,2014,2.38E+11,238 billion,26.42847596,4.48E+11,448.4 billion,7654.001353,88,68,#5968FF,NONE,Not public data.,Not public data.,FALSE,3.9,26.8,TRUE,13,TRUE,85,TRUE,30,NONE,Not public data.,77%,93%
Atlassian,Software,#210be5,TEAM,2015,4400000000,4.4 billion,16.04839424,12450000000,12.5 billion,2317.695889,183,21,#5968FF,FALSE,27%,73%,FALSE,3.6,-0.01,FALSE,9,FALSE,1,FALSE,4,FALSE,30%,72%,79%
Fitbit,Hardware,#f788c7,FIT,2015,4100000000,4.1 billion,15.90735533,1130000000,1.1 billion,1041.580437,-72,20,#F62536,NONE,Not public data.,Not public data.,FALSE,3.2,4.01,FALSE,6,FALSE,2,FALSE,7,NONE,Not public data.,51%,63%
Square,FinTech,#ada1a2,SQ,2015,2900000000,2.9 billion,15.23350185,19070000000,19.1 billion,2671.674617,558,9,#5968FF,TRUE,35%,65%,TRUE,4.2,-52.02,TRUE,12,FALSE,11,TRUE,38,TRUE,40%,86%,93%
Etsy,Ecommerce,#ff0000,ETSY,2015,1800000000,1.8 billion,14.35188888,3450000000,3.5 billion,1511.029808,92,16,#5968FF,TRUE,54%,46%,FALSE,3.6,-8.2,FALSE,7,FALSE,0,TRUE,19,FALSE,21%,64%,66%
Box,Software,#210be5,BOX,2015,1700000000,1.7 billion,14.24971293,2820000000,2.8 billion,1412.807644,66,14,#5968FF,NONE,Not public data.,Not public data.,TRUE,4.2,-95.62,TRUE,10,FALSE,1,TRUE,24,NONE,Not public data.,86%,97%
Shopify,Ecommerce,#ff0000,SHOP,2015,1000000000,1 billion,13.33521432,12060000000,12.1 billion,2293.237857,1106,17,#5968FF,NONE,Not public data.,Not public data.,TRUE,4.2,-14.49,FALSE,6,FALSE,0,FALSE,7,NONE,Not public data.,78%,87%
Twilio,Social Media,#5BD0FB,TWLO,2016,1000000000,1 billion,13.33521432,3550000000,3.5 billion,1525.490302,255,15,#5968FF,NONE,Not public data.,Not public data.,TRUE,4.1,-27.94,FALSE,3,FALSE,3,TRUE,26,NONE,Not public data.,80%,93%
"Snap, Inc",Social Media,#5BD0FB,SNAP,2017,25000000000,25 billion,19.94079648,17900000000,17.9 billion,2615.879154,-28,17,#F62536,NONE,Not public data.,Not public data.,FALSE,2.9,-96.04,TRUE,15,FALSE,0,TRUE,30,NONE,Not public data.,36%,34%
